               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030553,            0.017947,            0.001753,              0.8488,             0.72192,             0.79526,             0.55799,            0.032586,            0.010135,           0.0022905,            0.006535,            0.006535,            0.006535
                  37,            0.030549,            0.017822,           0.0018189,             0.85111,             0.73398,             0.79332,             0.54954,            0.032993,              0.0102,            0.002354,            0.006436,            0.006436,            0.006436
                  38,             0.03027,            0.017854,           0.0017752,             0.83118,             0.74191,             0.79922,             0.55478,            0.033052,            0.010031,            0.002379,            0.006337,            0.006337,            0.006337
                  39,            0.030077,            0.017421,           0.0019228,             0.84267,             0.75417,             0.80399,             0.56099,            0.032514,            0.010109,           0.0025785,            0.006238,            0.006238,            0.006238
                  40,            0.029974,            0.017521,           0.0016811,             0.82448,             0.74056,             0.79867,             0.56042,            0.032296,            0.010075,           0.0021929,            0.006139,            0.006139,            0.006139
                  41,            0.030129,            0.017474,           0.0015233,             0.83759,             0.74168,             0.79509,             0.56143,            0.032453,            0.010014,           0.0023368,             0.00604,             0.00604,             0.00604
                  42,            0.029661,            0.017264,           0.0016776,             0.85356,             0.74899,             0.80975,             0.56341,            0.032092,             0.01005,           0.0022908,            0.005941,            0.005941,            0.005941
                  43,             0.02916,            0.017021,           0.0015535,             0.85891,             0.73859,             0.79948,             0.56267,            0.031931,           0.0099761,           0.0023287,            0.005842,            0.005842,            0.005842
                  44,            0.029269,            0.017023,           0.0015673,             0.87297,             0.73102,             0.80676,             0.56455,            0.031994,           0.0099014,           0.0021802,            0.005743,            0.005743,            0.005743
                  45,            0.029128,            0.017014,           0.0015382,             0.85426,             0.73133,             0.80433,             0.56489,            0.031941,           0.0099985,           0.0024256,            0.005644,            0.005644,            0.005644
                  46,              0.0291,            0.016969,           0.0015888,             0.85378,             0.75527,             0.81013,             0.57322,            0.031788,           0.0099713,           0.0023693,            0.005545,            0.005545,            0.005545
                  47,            0.028974,            0.017011,           0.0015137,             0.86133,             0.74739,             0.80464,             0.56921,            0.031627,           0.0099826,            0.002198,            0.005446,            0.005446,            0.005446
                  48,            0.029011,            0.017097,           0.0015253,             0.87502,             0.74378,             0.81103,             0.57013,             0.03184,           0.0098717,           0.0025803,            0.005347,            0.005347,            0.005347
